"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"04/03/2021","385418","355002","148748"
"04/04/2021","385702","354684","152997"
"04/05/2021","408783","371109","153566"
"04/06/2021","396947","353514","143859"
"04/07/2021","384741","345042","132101"
"04/08/2021","426099","385954","147032"
"04/09/2021","464485","424785","156909"
"04/10/2021","456455","418440","156870"
"04/11/2021","401666","367439","141510"
"04/12/2021","470909","423091","159549"
"04/13/2021","443186","405305","165730"
"04/14/2021","445258","405170","151930"
"04/15/2021","481960","444722","154829"
"04/16/2021","496045","456943","159333"
"04/17/2021","532950","491656","197998"
"04/18/2021","502930","466553","164987"
"04/19/2021","681646","632830","244116"
"04/20/2021","985391","919340","378939"
"04/21/2021","1079614","991680","387926"
"04/22/2021","844242","777645","260988"
"04/23/2021","679361","620525","208777"
"04/24/2021","710662","652753","215649"
"04/25/2021","729221","678746","220775"
"04/26/2021","802041","741790","242500"
"04/27/2021","813426","748584","259643"
"04/28/2021","702061","635374","216054"
"04/29/2021","726685","663505","215434"
"04/30/2021","759371","695639","223024"
"05/01/2021","656222","598192","203801"
"05/02/2021","674153","621281","203134"
"05/03/2021","704862","639474","215760"
"05/04/2021","694417","632162","204095"
"05/05/2021","730366","662252","227243"
"05/06/2021","814526","746166","246028"
"05/07/2021","830105","760702","253750"
"05/08/2021","859223","790545","268396"
"05/09/2021","953001","879106","310514"
"05/10/2021","1117863","1027437","379668"
"05/11/2021","1276838","1179634","454265"
"05/12/2021","1293686","1192268","459974"
"05/13/2021","1098037","995490","368969"
"05/14/2021","1142801","1051399","399641"
"05/15/2021","1148466","1048737","412355"
"05/16/2021","1110746","1016993","368009"
"05/17/2021","1002718","908552","319435"
"05/18/2021","1019141","927615","330484"
"05/19/2021","959605","879602","316628"
"05/20/2021","976172","906437","296393"
"05/21/2021","932478","866331","349372"
"05/22/2021","688846","630218","251527"
"05/23/2021","651620","596389","209130"
"05/24/2021","695518","634264","206240"
"05/25/2021","687247","627670","206071"
"05/26/2021","740303","668715","230740"
"05/27/2021","973359","908522","283529"
"05/28/2021","742260","683050","223361"
"05/29/2021","635949","581566","195524"
"05/30/2021","668974","610939","226370"
"05/31/2021","710765","645261","214171"
"06/01/2021","735031","670865","228401"
"06/02/2021","778313","704790","237946"
"06/03/2021","774681","693014","244323"
"06/04/2021","714647","635555","238427"
"06/05/2021","716825","650089","231952"
"06/06/2021","753092","684501","230866"
"06/07/2021","765765","696269","233741"
"06/08/2021","695560","633498","214494"
"06/09/2021","711643","651729","222337"
"06/10/2021","683617","622864","213889"
"06/11/2021","672149","612326","220814"
"06/12/2021","626523","572714","220419"
"06/13/2021","690952","634274","272948"
"06/14/2021","749712","686176","282901"
"06/15/2021","798489","734112","323782"
"06/16/2021","841189","779092","391889"
"06/17/2021","966749","901282","502904"
"06/18/2021","1073145","1009998","570680"
"06/19/2021","792688","738406","193556"
"06/20/2021","570502","519869","171413"
"06/21/2021","639149","584535","201725"
"06/22/2021","562305","511107","177470"
"06/23/2021","556654","505648","179735"
"06/24/2021","583804","526441","188968"
"06/25/2021","565923","507947","183756"
"06/26/2021","474275","426552","153356"
"06/27/2021","471533","424312","146824"
"06/28/2021","518272","466362","164340"
"06/29/2021","548733","497039","169797"
"06/30/2021","507795","457923","160974"
"07/01/2021","554136","502092","184065"
"07/02/2021","519433","467756","173584"
"07/03/2021","518697","465089","170466"
"07/04/2021","614883","556379","208762"
"07/05/2021","611980","553903","203134"
"07/06/2021","647798","579427","223764"
"07/07/2021","631943","572860","208463"
"07/08/2021","572850","514715","187989"
"07/09/2021","573917","519029","188042"
"07/10/2021","530421","477326","176962"
"07/11/2021","524893","470025","181912"
"07/12/2021","621047","559767","225537"
"07/13/2021","568726","510686","199350"
"07/14/2021","590461","534518","210666"
"07/15/2021","607204","549606","215887"
"07/16/2021","576939","522062","210876"
"07/17/2021","551302","500030","206889"
"07/18/2021","546718","495110","202945"
"07/19/2021","591454","535060","221159"
"07/20/2021","585093","532912","215010"
"07/21/2021","599548","539507","213755"
"07/22/2021","630919","565810","230282"
"07/23/2021","696585","628194","267431"
"07/24/2021","714906","647476","280232"
"07/25/2021","769090","708245","295025"
"07/26/2021","876896","805010","335610"
"07/27/2021","847891","779394","314537"
"07/28/2021","873412","804480","327131"
"07/29/2021","877247","812077","325433"
"07/30/2021","919907","850079","318408"
"07/31/2021","924254","854498","289750"
"08/01/2021","918825","850159","274412"
"08/02/2021","957277","888237","281088"
"08/03/2021","1004137","928066","293219"
"08/04/2021","999854","924108","297066"
"08/05/2021","1005370","923870","306591"
"08/06/2021","1005152","927845","285873"
"08/07/2021","1021202","937931","303575"
"08/08/2021","1036921","943046","312963"
"08/09/2021","1022799","945656","289955"
"08/10/2021","1052868","969141","292817"
"08/11/2021","1252662","1165208","394035"
"08/12/2021","1090372","958195","343834"
"08/13/2021","945828","869248","270459"
"08/14/2021","879316","803652","256158"
"08/15/2021","902448","826625","281907"
"08/16/2021","930932","847734","294684"
"08/17/2021","902124","823174","283456"
"08/18/2021","886150","809968","281540"
"08/19/2021","1017483","937397","303057"
"08/20/2021","1085815","998938","320685"
"08/21/2021","1011479","932513","299985"
"08/22/2021","890978","813121","278777"
"08/23/2021","980529","887997","317418"
"08/24/2021","907315","821047","296931"
"08/25/2021","893448","809106","309332"
"08/26/2021","1034086","944530","338800"
"08/27/2021","946083","855586","334748"
"08/28/2021","1028116","943257","377478"
"08/29/2021","931607","836592","321068"
"08/30/2021","1023623","917793","363016"
"08/31/2021","1023401","917268","362084"
"09/01/2021","1063933","948424","373813"
"09/02/2021","1024162","928429","342259"
"09/03/2021","1095627","990625","335571"
"09/04/2021","1011103","907288","341571"
"09/05/2021","963041","870698","324741"
"09/06/2021","1034719","936997","353030"
"09/07/2021","1058967","970696","341745"
"09/08/2021","955041","870018","323292"
"09/09/2021","1065886","968960","363138"
"09/10/2021","1014911","925441","325640"
"09/11/2021","957612","871502","326512"
"09/12/2021","852219","747124","329077"
"09/13/2021","875424","781943","309993"
"09/14/2021","1007575","907367","360711"
"09/15/2021","984427","878865","354398"
"09/16/2021","1054811","955362","370897"
"09/17/2021","1043276","936905","397567"
"09/18/2021","1184221","1084195","481438"
"09/19/2021","1084163","970918","440579"
"09/20/2021","1155581","1041789","427617"
"09/21/2021","1141527","1033357","425748"
"09/22/2021","1264318","1160589","446365"
"09/23/2021","1233821","1140706","401245"
"09/24/2021","1075909","980493","421208"
"09/25/2021","927617","832683","329072"
"09/26/2021","1000790","893069","343869"
"09/27/2021","1033096","919349","373795"
"09/28/2021","942411","853517","332266"
"09/29/2021","1041519","946424","367929"
"09/30/2021","1097865","1008588","371902"
"10/01/2021","1045127","954507","345465"
"10/02/2021","942131","856614","319342"
"10/03/2021","1044203","954938","364206"
"10/04/2021","1050293","956844","361446"
"10/05/2021","1127590","1031822","387261"
"10/06/2021","1170573","1067992","407880"
"10/07/2021","1345876","1233079","464880"
"10/08/2021","1173642","1070234","404402"
"10/09/2021","1126043","1026425","392085"
"10/10/2021","1139718","1050049","385107"
"10/11/2021","1202020","1101380","417981"
"10/12/2021","1241780","1146875","423777"
"10/13/2021","1422763","1304151","481581"
"10/14/2021","1522002","1411202","536697"
"10/15/2021","1275387","1166223","434127"
"10/16/2021","1137453","1039300","390051"
"10/17/2021","1227947","1116691","446221"
"10/18/2021","1369113","1262324","499947"
"10/19/2021","1624489","1505923","626686"
"10/20/2021","1361272","1244465","473099"
"10/21/2021","1448412","1335061","480065"
"10/22/2021","1292999","1191612","429097"
"10/23/2021","1165137","1066019","402033"
"10/24/2021","1185057","1079682","400528"
"10/25/2021","1313223","1192120","443792"
"10/26/2021","1607802","1459002","581250"
"10/27/2021","1749643","1601449","586550"
"10/28/2021","1924724","1778899","672197"
"10/29/2021","1737527","1581063","648150"
"10/30/2021","1748145","1594921","634648"
"10/31/2021","1684541","1544968","588745"
"11/01/2021","1753873","1606688","606571"
"11/02/2021","1771868","1613930","625818"
"11/03/2021","1833038","1676032","629850"
"11/04/2021","2134377","1986729","626692"
"11/05/2021","1792094","1635258","596468"
"11/06/2021","1657882","1518586","547754"
"11/07/2021","1691673","1549014","560128"
"11/08/2021","1723575","1563196","573568"
"11/09/2021","1913355","1765584","615437"
"11/10/2021","1987093","1834425","700682"
"11/11/2021","2000570","1854660","676455"
"11/12/2021","1782934","1636263","601092"
"11/13/2021","1707441","1566932","582401"
"11/14/2021","1718989","1575896","587994"
"11/15/2021","1894909","1713765","665680"
"11/16/2021","2057532","1891377","624351"
"11/17/2021","1750226","1609975","565706"
"11/18/2021","1666322","1531568","529356"
"11/19/2021","1614731","1491570","495498"
"11/20/2021","1598100","1465776","539747"
"11/21/2021","1575343","1442321","514677"
"11/22/2021","1611513","1473589","534205"
"11/23/2021","1684007","1546437","552485"
"11/24/2021","1699199","1551998","563116"
"11/25/2021","1822440","1658690","588095"
"11/26/2021","1683427","1548310","534816"
"11/27/2021","1549250","1424011","475133"
"11/28/2021","1595001","1472197","489363"
"11/29/2021","1822396","1673727","554830"
"11/30/2021","1948628","1784877","611385"
"12/01/2021","2271060","2108287","638356"
"12/02/2021","1984108","1832410","577356"
"12/03/2021","1709410","1571332","501367"
"12/04/2021","1648358","1513303","491308"
"12/05/2021","1601092","1482847","513338"
"12/06/2021","1747491","1619864","532767"
"12/07/2021","1754727","1618735","540629"
